variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_791	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
citD	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
group_240	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
citF	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
citX	4.06E-01	1.82E-06	5.00E-01	2.20E-01	3.25E-01	5.45E-02	
group_1388	4.00E-01	6.88E-06	9.84E-01	5.61E-03	2.73E-01	1.66E-03	
cfiA	4.00E-01	6.88E-06	9.84E-01	5.61E-03	2.73E-01	1.66E-03	
citG	4.00E-01	6.88E-06	9.84E-01	5.61E-03	2.73E-01	1.66E-03	
group_492	4.00E-01	6.88E-06	9.84E-01	5.61E-03	2.73E-01	1.66E-03	
group_242	4.00E-01	6.88E-06	9.84E-01	5.61E-03	2.73E-01	1.66E-03	
group_182	4.00E-01	6.88E-06	9.84E-01	5.61E-03	2.73E-01	1.66E-03	
group_2046	3.94E-01	7.86E-03	4.64E-01	-5.94E-02	8.09E-02	5.92E-02	
group_1438	3.87E-01	3.12E-03	3.73E-01	-7.18E-02	8.04E-02	7.20E-02	
group_2096	3.81E-01	9.17E-06	6.80E-01	8.90E-02	2.16E-01	3.34E-02	
group_935	3.74E-01	5.48E-06	3.90E-01	1.72E-01	1.99E-01	6.95E-02	
group_505	3.74E-01	1.52E-03	5.13E-01	-5.20E-02	7.93E-02	5.30E-02	
group_1187	3.68E-01	4.74E-04	2.54E-01	-1.86E-01	1.63E-01	9.21E-02	
group_2089	3.61E-01	2.66E-03	4.55E-01	-6.26E-02	8.36E-02	6.04E-02	
group_2154	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_1978	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_1515	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_1272	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_636	3.55E-01	7.80E-02	6.04E-01	-3.77E-02	7.24E-02	4.20E-02	
group_1263	3.48E-01	4.90E-01	4.69E-01	5.37E-02	7.39E-02	5.86E-02	
group_625	3.42E-01	1.81E-02	8.09E-01	-5.38E-02	2.22E-01	1.96E-02	
group_606	3.42E-01	3.06E-07	1.99E-01	2.50E-01	1.94E-01	1.04E-01	
group_440	3.42E-01	4.33E-01	2.17E-01	-1.00E-01	8.07E-02	9.98E-02	
group_1467	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1248	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1246	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1239	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1212	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1177	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1176	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1085	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1067	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_913	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_811	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_674	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_397	3.35E-01	2.77E-01	6.79E-01	2.97E-02	7.16E-02	3.35E-02	
group_1637	3.29E-01	9.76E-03	3.16E-02	-1.57E-01	7.23E-02	1.73E-01	
group_8	3.29E-01	1.64E-01	9.71E-01	2.57E-03	7.09E-02	2.93E-03	
ennX_1~~~emm5~~~ennX_2~~~ennX	3.23E-01	9.98E-05	9.59E-01	1.14E-02	2.22E-01	4.14E-03	
noc	3.23E-01	1.93E-01	9.09E-01	8.14E-03	7.08E-02	9.29E-03	
group_897	3.23E-01	7.67E-01	4.19E-01	6.12E-02	7.56E-02	6.53E-02	
group_1317	3.03E-01	5.36E-01	1.59E-02	-1.86E-01	7.63E-02	1.93E-01	
ennX_2~~~ennX~~~arp4~~~ennX_1	3.03E-01	2.08E-05	1.75E-01	2.30E-01	1.69E-01	1.09E-01	
group_469	3.03E-01	5.74E-04	8.79E-02	-3.08E-01	1.79E-01	1.38E-01	
