variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_1938-group_1249-aroB	8.65E-01	5.31E-01	2.48E-01	2.19E-01	1.89E-01	9.33E-02	
group_1449-group_1249-aroB	1.29E-02	1.25E-02	2.06E-01	5.12E-01	4.03E-01	1.02E-01	bad-chisq
rhaR_3-group_1249-aroB	7.10E-02	2.17E-01	3.92E-01	-1.76E-01	2.06E-01	6.92E-02	bad-chisq
group_1249-group_1938-group_905	8.65E-01	5.31E-01	2.48E-01	2.19E-01	1.89E-01	9.33E-02	
group_1449-group_1938-group_905	1.29E-02	1.25E-02	2.06E-01	5.12E-01	4.03E-01	1.02E-01	bad-chisq
group_487-group_1938-group_905	2.58E-02	2.48E-01	2.54E-01	-3.43E-01	2.99E-01	9.23E-02	bad-chisq
cas2_2-group_1376-resA	9.35E-01	7.00E-03	6.10E-02	-3.76E-01	1.99E-01	1.51E-01	
group_265-group_1376-resA	5.81E-02	2.57E-02	5.84E-01	1.30E-01	2.37E-01	4.43E-02	bad-chisq
group_440-group_1894-group_441	3.35E-01	2.77E-01	1.48E-01	-1.17E-01	8.03E-02	1.17E-01	
group_441-group_1894-group_902	6.52E-01	3.80E-01	1.90E-01	1.04E-01	7.89E-02	1.06E-01	
group_1717-group_1918-group_440	7.74E-02	1.50E-01	8.09E-01	-8.54E-02	3.52E-01	1.96E-02	
group_1704-group_1918-group_250	1.94E-02	8.66E-02	4.13E-01	2.29E-01	2.80E-01	6.61E-02	bad-chisq
group_1717-group_1900-group_2151	6.45E-02	6.77E-01	1.67E-02	-5.32E-01	2.20E-01	1.92E-01	
group_1717-group_1900-group_2072	1.29E-02	1.25E-02	8.72E-03	6.81E-01	2.56E-01	2.10E-01	bad-chisq
group_1900-group_2151-group_2072	6.45E-02	6.77E-01	1.67E-02	-5.32E-01	2.20E-01	1.92E-01	
group_2072-group_2151-group_1748	5.81E-02	3.35E-01	9.79E-01	3.19E-03	1.22E-01	2.12E-03	bad-chisq
group_2151-group_2072-group_933	1.23E-01	7.08E-01	2.67E-01	-1.19E-01	1.07E-01	8.98E-02	
group_1748-group_2072-group_933	5.81E-02	5.26E-01	5.05E-01	1.17E-01	1.75E-01	5.40E-02	
group_1900-group_2072-group_933	1.29E-02	1.25E-02	8.72E-03	6.81E-01	2.56E-01	2.10E-01	bad-chisq
group_1071-group_1919-group_933	7.74E-02	1.50E-01	8.09E-01	-8.54E-02	3.52E-01	1.96E-02	
group_1071-group_1919-group_1335	5.68E-01	1.29E-05	7.43E-01	5.14E-02	1.57E-01	2.65E-02	
group_465-group_2088-group_775	1.10E-01	2.74E-01	9.82E-02	-3.20E-01	1.92E-01	1.33E-01	
group_775-group_2088-group_1016	6.45E-02	2.70E-01	2.74E-01	-2.41E-01	2.20E-01	8.84E-02	bad-chisq
group_775-group_2088-group_1191	1.29E-02	3.99E-01	8.79E-01	5.09E-02	3.34E-01	1.23E-02	bad-chisq
group_52-group_1692-group_1029	7.10E-02	9.40E-02	4.45E-01	2.00E-01	2.61E-01	6.18E-02	
group_346-group_1752-group_1710	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
group_346-group_1752-group_1297	1.10E-01	2.20E-02	6.87E-01	8.38E-02	2.07E-01	3.26E-02	
group_202-group_2000-group_454	1.35E-01	1.37E-06	1.59E-01	2.52E-01	1.79E-01	1.14E-01	
group_202-group_2000-group_1026	1.94E-02	7.20E-01	4.61E-01	-2.14E-01	2.89E-01	5.97E-02	bad-chisq
group_2022-group_234-group_679	1.29E-02	1.25E-02	7.45E-02	6.09E-01	3.39E-01	1.44E-01	bad-chisq
group_679-group_234-group_1026	1.42E-01	4.71E-05	9.88E-01	2.47E-03	1.71E-01	1.17E-03	
comEC-group_1420-plsC	1.94E-02	8.66E-02	1.05E-02	5.30E-01	2.05E-01	2.05E-01	bad-chisq
plsC-group_1420-comEC_1~~~comEC_2~~~comEC	9.81E-01	8.66E-02	1.05E-02	-5.30E-01	2.05E-01	2.05E-01	bad-chisq
holA-group_1468-group_813	9.42E-01	5.83E-08	1.29E-01	-5.35E-01	3.51E-01	1.22E-01	bad-chisq
holA-group_1468-group_988	5.81E-02	5.83E-08	1.29E-01	5.35E-01	3.51E-01	1.22E-01	bad-chisq
group_792-group_1389-group_794	1.94E-01	4.37E-01	1.80E-01	-1.84E-01	1.37E-01	1.08E-01	
group_792-group_1389-group_1017	1.35E-01	6.42E-01	8.64E-01	-1.78E-02	1.03E-01	1.39E-02	
group_792-group_1389-group_534	1.29E-02	3.99E-01	6.07E-01	1.73E-01	3.36E-01	4.16E-02	bad-chisq
nrdE_2-group_718-group_534	7.29E-01	7.68E-01	4.21E-01	5.76E-02	7.14E-02	6.50E-02	
group_534-group_718-group_636	2.65E-01	6.88E-01	5.10E-01	-4.76E-02	7.21E-02	5.33E-02	
group_718-nrdE_2-nrdH	7.29E-01	7.68E-01	4.21E-01	5.76E-02	7.14E-02	6.50E-02	
nrdH-nrdE_2-group_636	2.65E-01	6.88E-01	5.10E-01	-4.76E-02	7.21E-02	5.33E-02	
group_526-udk-group_302	9.81E-01	8.66E-02	2.39E-01	-3.31E-01	2.80E-01	9.51E-02	bad-chisq
group_526-udk-group_543	1.94E-02	8.66E-02	2.39E-01	3.31E-01	2.80E-01	9.51E-02	bad-chisq
metK-group_362-group_504	6.45E-02	6.77E-01	6.73E-01	-8.94E-02	2.11E-01	3.42E-02	
metK-group_362-group_704	8.52E-01	8.79E-07	3.51E-01	-1.58E-01	1.69E-01	7.54E-02	
group_1737-group_1359-group_794	2.58E-02	2.30E-01	7.87E-01	8.51E-02	3.15E-01	2.19E-02	bad-chisq
group_1737-group_1359-group_1051	1.29E-02	1.25E-02	2.06E-01	5.12E-01	4.03E-01	1.02E-01	bad-chisq
group_1737-group_1359-group_608	5.16E-02	9.79E-02	2.53E-01	-1.79E-01	1.56E-01	9.23E-02	bad-chisq
group_1737-group_1359-group_196	2.58E-02	1.74E-02	2.27E-01	3.26E-01	2.68E-01	9.77E-02	bad-chisq
group_1372-adcR-ispE_2~~~ispE	8.32E-01	9.18E-02	3.00E-01	9.66E-02	9.29E-02	8.37E-02	
group_1372-adcR-ispE_1~~~ispE	1.68E-01	9.18E-02	3.00E-01	-9.66E-02	9.29E-02	8.37E-02	
dusB-hslO-group_175	9.68E-02	3.92E-09	4.94E-02	4.57E-01	2.31E-01	1.58E-01	
dusB-hslO-group_174	9.03E-01	3.92E-09	4.94E-02	-4.57E-01	2.31E-01	1.58E-01	
group_103-perR-group_193	9.68E-01	6.08E-02	7.73E-01	-7.59E-02	2.62E-01	2.34E-02	bad-chisq
group_103-perR-group_236	2.58E-02	1.74E-02	3.17E-01	2.83E-01	2.82E-01	8.09E-02	bad-chisq
nadC-group_310-group_198	1.48E-01	2.20E-02	5.29E-01	1.08E-01	1.72E-01	5.09E-02	
nadC-group_310-group_1051	5.81E-02	8.69E-01	8.35E-01	-4.25E-02	2.04E-01	1.69E-02	
nadC-group_310-group_534	5.81E-02	5.26E-01	2.76E-01	2.34E-01	2.14E-01	8.81E-02	
nadC-group_310-group_1017	5.16E-02	9.74E-01	7.77E-01	-7.19E-02	2.53E-01	2.30E-02	
group_1051-group_310-group_534	5.16E-02	9.74E-01	9.40E-01	-1.92E-02	2.53E-01	6.14E-03	
group_1051-group_310-group_1017	4.52E-02	7.99E-01	7.04E-01	1.11E-01	2.91E-01	3.07E-02	bad-chisq
group_534-group_310-group_1017	4.52E-02	7.99E-01	7.04E-01	1.11E-01	2.91E-01	3.07E-02	bad-chisq
group_2073-group_159-group_669	7.03E-01	1.17E-05	2.07E-01	-2.18E-01	1.72E-01	1.02E-01	
group_2073-group_159-group_672	9.68E-02	8.39E-01	9.95E-01	-1.21E-03	1.77E-01	5.56E-04	
group_550-group_159-group_669	3.23E-02	4.13E-01	2.89E-01	2.44E-01	2.29E-01	8.57E-02	bad-chisq
group_550-group_159-group_672	1.61E-01	6.69E-06	9.19E-01	1.71E-02	1.67E-01	8.24E-03	
rpsI-group_1850-lacA_2	1.94E-02	2.15E-03	5.80E-02	5.69E-01	2.98E-01	1.53E-01	bad-chisq
lacA_2-group_1850-group_318	9.81E-01	2.15E-03	5.80E-02	-5.69E-01	2.98E-01	1.53E-01	bad-chisq
rplM-rpsI-group_1850	1.94E-02	2.15E-03	5.80E-02	5.69E-01	2.98E-01	1.53E-01	bad-chisq
rplM-rpsI-xerC	1.29E-02	4.17E-01	3.54E-01	-3.80E-01	4.08E-01	7.50E-02	bad-chisq
rplM-rpsI-group_406	9.68E-01	6.08E-02	3.12E-01	-2.56E-01	2.52E-01	8.17E-02	bad-chisq
glgX-group_1768-group_332	9.74E-01	2.48E-01	1.85E-01	3.96E-01	2.97E-01	1.07E-01	bad-chisq
group_332-group_1768-group_414	1.94E-02	3.19E-01	4.44E-01	-2.89E-01	3.76E-01	6.19E-02	bad-chisq
group_589-group_142-group_1436	3.87E-02	6.48E-01	3.87E-01	-2.40E-01	2.77E-01	7.00E-02	bad-chisq
group_589-group_142-group_161	8.77E-01	4.45E-01	7.40E-01	-5.70E-02	1.72E-01	2.68E-02	
group_589-group_142-seq~~~seq_1~~~seq_3~~~seq_2	8.39E-02	2.22E-01	3.10E-01	2.04E-01	2.00E-01	8.21E-02	
deoC-group_456-group_1529	7.68E-01	3.01E-04	6.97E-01	-7.10E-02	1.82E-01	3.16E-02	
deoC-group_456-group_140	1.16E-01	1.13E-03	7.21E-01	-5.18E-02	1.45E-01	2.89E-02	
deoC-group_456-group_499	1.10E-01	9.06E-02	3.33E-01	1.33E-01	1.37E-01	7.82E-02	
group_456-group_1529-dinG_2~~~dinG_1	7.68E-01	3.01E-04	6.97E-01	-7.10E-02	1.82E-01	3.16E-02	
group_1563-group_1529-dinG_2~~~dinG_1	2.32E-01	3.01E-04	6.97E-01	7.10E-02	1.82E-01	3.16E-02	
group_1425-group_744-uvrA	8.77E-01	7.08E-01	2.34E-01	1.18E-01	9.86E-02	9.61E-02	
group_1425-group_744-group_388	6.45E-02	2.39E-01	9.65E-01	-5.90E-03	1.33E-01	3.57E-03	
group_744-uvrA-group_624	8.77E-01	7.08E-01	2.34E-01	1.18E-01	9.86E-02	9.61E-02	
group_624-uvrA-group_776	6.45E-02	2.39E-01	9.65E-01	-5.90E-03	1.33E-01	3.57E-03	
group_2163-group_1148-group_1002	9.68E-02	4.04E-01	3.09E-02	-4.80E-01	2.20E-01	1.73E-01	
group_2163-group_1148-group_1087	2.58E-02	9.82E-01	5.64E-01	-1.57E-01	2.71E-01	4.67E-02	bad-chisq
group_2163-group_1148-group_1222	1.29E-02	3.99E-01	8.79E-01	5.09E-02	3.34E-01	1.23E-02	bad-chisq
group_2040-group_2055-group_1702	1.03E-01	2.02E-01	1.04E-01	-3.26E-01	2.00E-01	1.31E-01	
group_796-group_2055-group_1516	4.52E-02	2.02E-06	4.37E-01	1.82E-01	2.34E-01	6.29E-02	bad-chisq
group_2055-group_1702-group_2041	1.03E-01	2.02E-01	1.04E-01	-3.26E-01	2.00E-01	1.31E-01	
group_2041-group_1702-group_1987	6.45E-02	2.70E-01	2.74E-01	-2.41E-01	2.20E-01	8.84E-02	bad-chisq
group_258-group_994-purR_1~~~purR_2	2.84E-01	9.30E-01	9.99E-03	-4.25E-01	1.63E-01	2.06E-01	
group_258-group_994-group_984	6.26E-01	7.04E-04	4.82E-01	1.18E-01	1.68E-01	5.68E-02	
group_258-group_994-group_1097	1.94E-02	2.15E-03	1.08E-01	5.03E-01	3.11E-01	1.30E-01	bad-chisq
group_258-group_994-group_1161	2.58E-02	2.30E-01	7.63E-01	8.03E-02	2.66E-01	2.44E-02	bad-chisq
mltF-group_1312-group_186	3.81E-01	9.17E-06	8.87E-01	3.25E-02	2.30E-01	1.15E-02	
mltF-group_1312-group_514	5.10E-01	3.85E-06	1.38E-01	-1.47E-01	9.88E-02	1.20E-01	
mltF-group_1312-group_943	1.94E-02	7.20E-01	6.30E-01	-1.94E-01	4.01E-01	3.90E-02	bad-chisq
group_53-adhE-group_104	9.68E-01	4.13E-01	5.08E-01	-1.49E-01	2.24E-01	5.36E-02	bad-chisq
group_53-adhE-adhP_2~~~adhP_1~~~adhP	3.23E-02	4.13E-01	5.08E-01	1.49E-01	2.24E-01	5.36E-02	bad-chisq
group_212-purB-group_694	6.45E-02	9.64E-09	4.54E-02	5.73E-01	2.84E-01	1.61E-01	bad-chisq
group_233-purB-group_694	1.16E-01	8.10E-01	5.70E-01	-1.11E-01	1.95E-01	4.59E-02	
group_577-purB-group_694	6.77E-01	1.99E-03	2.84E-01	2.06E-01	1.92E-01	8.65E-02	
group_694-purB-group_695	1.35E-01	6.42E-01	1.11E-01	-3.39E-01	2.12E-01	1.29E-01	
recO-plsX-acpP	9.74E-01	9.82E-01	8.80E-01	-4.58E-02	3.03E-01	1.22E-02	bad-chisq
acpP-plsX-group_1058	1.29E-02	3.99E-01	5.69E-01	1.75E-01	3.07E-01	4.61E-02	bad-chisq
plsX-recO-group_717	9.74E-01	9.82E-01	8.80E-01	-4.58E-02	3.03E-01	1.22E-02	bad-chisq
group_717-recO-group_524	1.29E-02	3.99E-01	5.69E-01	1.75E-01	3.07E-01	4.61E-02	bad-chisq
speC_1~~~seq_2-group_269-group_512	2.52E-01	1.37E-03	7.03E-01	3.82E-02	9.99E-02	3.09E-02	
group_512-group_269-group_688	7.48E-01	1.37E-03	7.03E-01	-3.82E-02	9.99E-02	3.09E-02	
group_480-group_395-tadA	5.81E-02	5.83E-08	1.18E-01	3.01E-01	1.91E-01	1.26E-01	bad-chisq
speC_1~~~seq_2-group_395-tadA	9.16E-01	1.42E-07	2.84E-01	-2.23E-01	2.07E-01	8.67E-02	
group_1032-group_1639-group_1202	5.03E-01	3.27E-05	4.77E-01	-7.25E-02	1.02E-01	5.76E-02	
group_1169-group_1639-group_1202	9.03E-02	3.51E-01	6.05E-01	5.44E-02	1.05E-01	4.18E-02	
group_2046-group_1438-group_1340	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_927-group_1438-group_1340	1.29E-02	3.99E-01	9.63E-01	1.62E-02	3.45E-01	3.79E-03	bad-chisq
group_1438-group_2046-group_1264	3.55E-01	3.49E-03	5.82E-01	-4.68E-02	8.48E-02	4.46E-02	
group_1574-group_2046-group_1264	3.87E-02	6.09E-01	5.59E-01	-1.35E-01	2.30E-01	4.73E-02	bad-chisq
group_2089-group_1954-group_1344	3.35E-01	7.62E-03	6.98E-01	-3.38E-02	8.69E-02	3.14E-02	
group_2177-group_1954-group_1344	1.81E-01	4.42E-03	2.60E-01	-1.03E-01	9.07E-02	9.10E-02	bad-chisq
group_2176-group_1882-group_1254	4.06E-01	3.30E-04	6.08E-01	-3.85E-02	7.48E-02	4.16E-02	
group_883-group_1882-group_1254	1.23E-01	8.00E-03	6.54E-02	-1.71E-01	9.22E-02	1.48E-01	bad-chisq
group_596-group_1363-group_220	6.19E-01	9.17E-06	7.68E-01	-6.83E-02	2.31E-01	2.39E-02	
group_591-group_1363-group_220	6.45E-02	9.64E-09	6.57E-02	5.30E-01	2.86E-01	1.48E-01	bad-chisq
group_572-group_1363-group_220	1.29E-02	1.25E-02	1.01E-01	5.55E-01	3.37E-01	1.32E-01	bad-chisq
group_599-group_1363-group_220	1.29E-02	1.25E-02	2.06E-01	5.12E-01	4.03E-01	1.02E-01	bad-chisq
group_574-group_1363-group_220	5.81E-02	8.69E-01	5.05E-01	-1.83E-01	2.73E-01	5.39E-02	
group_578-group_1363-group_220	1.29E-02	3.99E-01	9.32E-01	3.48E-02	4.08E-01	6.90E-03	bad-chisq
group_220-group_1363-group_336	5.81E-02	3.35E-01	2.53E-01	-3.22E-01	2.80E-01	9.24E-02	bad-chisq
group_220-rhaR_2-group_711	3.87E-02	1.44E-02	2.62E-01	3.06E-01	2.73E-01	9.06E-02	bad-chisq
group_220-rhaR_2-group_1183	8.13E-01	4.80E-03	3.59E-01	-1.58E-01	1.72E-01	7.42E-02	
group_1233-speC_1-group_2175	2.58E-02	2.48E-01	2.59E-02	-4.18E-01	1.86E-01	1.79E-01	bad-chisq
group_1233-speC_1-group_466	5.81E-02	3.35E-01	4.08E-01	-2.08E-01	2.51E-01	6.69E-02	bad-chisq
group_1233-speC_1-group_1266	1.29E-02	1.25E-02	7.45E-02	6.09E-01	3.39E-01	1.44E-01	bad-chisq
group_1233-speC_1-group_1282	5.55E-01	1.52E-04	9.00E-01	1.12E-02	8.90E-02	1.02E-02	
speC_1-group_1233-group_761	4.45E-01	2.62E-02	2.92E-01	8.02E-02	7.58E-02	8.52E-02	
speC_1-group_1233-group_776	2.58E-02	2.48E-01	2.59E-02	-4.18E-01	1.86E-01	1.79E-01	bad-chisq
speC_1-group_1233-group_808	7.74E-02	4.60E-01	4.57E-01	1.42E-01	1.91E-01	6.02E-02	
group_1702-group_1987-group_460	6.45E-02	2.70E-01	2.74E-01	-2.41E-01	2.20E-01	8.84E-02	bad-chisq
group_1335-group_1987-lexA	5.68E-01	1.29E-05	7.43E-01	5.14E-02	1.57E-01	2.65E-02	
group_2193-group_812-group_759	2.97E-01	2.94E-03	5.24E-01	-4.52E-02	7.07E-02	5.16E-02	
group_759-group_812-group_1122	2.84E-01	1.66E-02	8.84E-01	-1.01E-02	6.91E-02	1.18E-02	
group_759-group_812-group_1274	6.45E-02	2.70E-01	2.74E-01	-2.41E-01	2.20E-01	8.84E-02	bad-chisq
group_1997-group_2090-group_673	1.94E-02	7.20E-01	9.33E-01	2.65E-02	3.17E-01	6.77E-03	bad-chisq
group_673-group_2090-group_1291	6.45E-01	1.47E-08	1.71E-02	-2.62E-01	1.08E-01	1.91E-01	
group_1979-group_1593-group_831	5.35E-01	7.80E-08	4.33E-03	-2.74E-01	9.47E-02	2.28E-01	
group_831-group_1593-group_832	4.52E-02	7.99E-01	1.94E-01	-2.58E-01	1.98E-01	1.05E-01	bad-chisq
